"","country","year","active_pop_oecd","active_pop_growth_oecd","unemployment_rate_oecd","vacancy_rate_lm_v1","vacancy_rate_oecd","unemployment_level_oecd","vacancy_stock_oecd","vacancy_stock_lm_v1","vacancy_stock_eurostat","becru_lm_v1","fegap_lm_v1"
"176","Sweden",1986,4434715.73147642,0.5026082379664,3.36662779005493,1.27480687038758,0.879439767372152,149296.874023165,38999.9975,56533.4508643137,NA,2.07166605339755,1.29496173665738
"177","Sweden",1987,4458039.53569883,0.525936849951087,2.88140580977302,1.40879574221261,1.03488093591079,128435.758839747,46141.6675,62810.0224494976,NA,2.01477349505966,0.866632314713363
"178","Sweden",1988,4505274.51479314,1.05954598912962,2.45207843301562,1.51048705284598,1.15654403225671,110461.737495234,52108.3325,68053.9219852239,NA,1.92453441788734,0.527544015128282
"179","Sweden",1989,4558175.25309885,1.1741956706967,2.17478256276285,1.45135268903985,1.09577703294614,99131.2870580806,49950,66157.0367411734,NA,1.77661940790447,0.398163154858378
"180","Sweden",1990,4611589.33733005,1.17183042040545,2.39570859975304,1.27424083944164,0.90069799123243,110504.599957957,41525,58752.5899373902,NA,1.7472005429277,0.648508056825338
"181","Sweden",1991,4589708.75456357,-0.474469454367028,3.88155189552489,0.83979291651983,0.40374378619566,178034.015439237,18550,38560.6415318214,NA,1.80546387030201,2.07608802522288
"182","Sweden",1992,4517042.8590858,-1.58323543744525,6.5625972120791,0.69821905607526,0.233771124338835,296241.646135619,10566.6665,31544.3604377431,NA,2.14059114050769,4.42200607157142
"183","Sweden",1993,4431503.89730508,-1.89369382689508,10.2187206881948,0.673175591830021,0.194465617222633,452708.03312546,8616.667,29830.57200271,NA,2.62278351127598,7.59593717691877
"184","Sweden",1994,4416527.45916179,-0.33795385246975,10.557260799106,0.739393675705649,0.267877825961373,466248.935759907,11833.33425,32657.5917698431,NA,2.79391694000272,7.7633438591033
"185","Sweden",1995,4451386.92211884,0.789295736964722,9.9878078925127,0.795513289770487,0.336222012469044,444591.492764963,14966.665,35411.3699131111,NA,2.8187646077969,7.1690432847158
"186","Sweden",1996,4464469.18365315,0.293891808624959,10.7554130925103,0.774971631553131,0.314518802368126,480168.052804241,14041.665,34598.4187803515,NA,2.88706425843462,7.86834883407568
"187","Sweden",1997,4433014.29369532,-0.704560579631647,10.9906880557384,0.822410785124601,0.364463777601745,487306.539630677,16150,36451.3629170939,NA,3.00646975587305,7.9842182998653
"188","Sweden",1998,4421328.04695898,-0.263618521441668,9.29499990920052,0.962014879883226,0.521802801403587,410911.801731491,23074.9975,42537.508389507,NA,2.99030570697448,6.30469420222604
"189","Sweden",1999,4453067.70342402,0.717876079945278,7.9486957774127,1.00851577168291,0.578800057945419,353954.998287299,25775.0025,44910.451225406,NA,2.8313221391834,5.11737363822931
"190","Sweden",2000,4487320.97782742,0.769206234548464,6.66834981410705,1.18350284314684,0.782237435048025,299166.389381268,35108.3325,53113.1984642372,NA,2.80927231931926,3.85907749478779
"191","Sweden",2001,4531298.17360206,0.980032317544017,5.87231204405242,1.52251747849334,0.603594801082673,266095.162257946,27350,68984.3025933855,68984.3025933855,2.99009995254954,2.88221209150287
"192","Sweden",2002,4544664.95933224,0.29498799721568,5.99625662888268,1.19591705150665,0.642705874376112,272515.341286819,29209.085,54348.1276415389,54348.1276415389,2.67787705985367,3.318379569029
"193","Sweden",2003,4564434.7168309,0.435010230139617,6.64275765754944,0.968701486279976,0.553573105908717,303225.642798105,25263,44210.1301136492,44210.1301136492,2.53670045844318,4.10605719910626
"194","Sweden",2004,4582931.5189274,0.40523752105151,7.44908017533398,0.82308515122535,0.455166524503174,341387.904782841,20859.42,37722.1798944199,37722.1798944199,2.47613151561151,4.97294865972248
"195","Sweden",2005,4615070.36551428,0.701272677851428,7.66996064056062,0.90983159904671,0.484127745456786,353986.909953542,22348.415,42002.1939938648,42002.1939938648,2.64166094611451,5.02829969444611
"196","Sweden",2006,4671153.42729565,1.21521574623094,7.07774356233919,1.00706342825153,0.693643693891518,330555.704063704,32414.8325,47043.3521203122,47043.3521203122,2.66978214395379,4.4079614183854
"197","Sweden",2007,4736214.44747163,1.39282558769751,6.16523666061884,1.15971546109923,0.893174642600943,291972.411220628,42312.665,54932.7668226515,54932.7668226515,2.67393348396243,3.49130317665641
"198","Sweden",2008,4778519.42955314,0.893223534337417,6.15498152686355,1.02664529740871,0.794898100061681,294134.972639806,37980.4125,49055.3225104463,49055.3225104463,2.51375870763125,3.6412228192323
"199","Sweden",2009,4783848.22716517,0.111515662761054,8.40133452053125,0.702962930177003,0.564296185333572,401899.452009285,26995.75,33630.1500956706,33630.1500956706,2.43019067810529,5.97114384242596
"200","Sweden",2010,4811663.03749488,0.581431705374094,8.67120085451411,1.04673384999776,0.691032293789056,417184.174131542,33263.9975,50386.1950983056,50386.1950983056,3.01271297248002,5.65848788203409
"201","Sweden",2011,4871565.31932244,1.24493925199587,7.86030646155333,1.32034427736728,0.928904388739988,382913.623979512,45255.9175,64323.5813963421,64323.5813963421,3.22153855399326,4.63876790756007
"202","Sweden",2012,4895785.35848715,0.497171598390596,8.04183826787196,1.33155248593794,0.947922804374384,393735.336968541,46406.8325,65181.9884264089,65181.9884264089,3.27232787738266,4.7695103904893
"203","Sweden",2013,4947988.80272722,1.06629356512881,8.14745384135115,1.26046595826218,0.971416170807043,403127.80623749,48065.165,62369.8815947682,62369.8815947682,3.20461982355716,4.94283401779399
"204","Sweden",2014,4987991.08886381,0.808455470120299,8.02464336397172,1.4048625101313,1.07463602601757,400257.524374296,53612.25,70076.2235325355,70076.2235325355,3.35760638241259,4.66703698155913
"205","Sweden",2015,5028779.27835405,0.817727793886971,7.50435233896882,1.65955806050162,1.4495234335263,377344.829430184,72913.165,83470.9642695914,83470.9642695914,3.52900955127355,3.97534278769527
"206","Sweden",2016,5084584.36720485,1.10971442097301,6.99031015853116,1.93130147532004,1.86295471410985,355418.781791422,94728.5,98213.5272892245,98213.5272892245,3.67428854638771,3.31602161214346
"207","Sweden",2017,5168147.90674919,1.64346844322857,6.70956596779341,2.15391484293409,1.94333954603583,346751.76727492,100445.9225,111331.616847174,111331.616847174,3.80155675055307,2.90800921724034
"208","Sweden",2018,5233706.71018979,1.26851639356104,6.37580124105922,2.28108772051411,2.05951085866902,333708.751350362,107790.6,119386.443904428,119386.443904428,3.81362844538097,2.56217279567825
"209","Sweden",2019,5286729.80745601,1.01310792144662,6.83859961769535,2.20995878293807,1.90345825270839,361559.891310713,100624,116828.582238088,116828.582238088,3.88754720718898,2.95105241050638
"210","Sweden",2020,5301296.66285871,0.275536218668923,8.43921954498798,1.66045791859901,1.56009566903476,447420.149294725,82708.835,88026.2194897538,88026.2194897538,3.7433900304765,4.69582951451148
"211","Sweden",2021,5307103.24046132,0.109531270779216,8.90107234408963,2.29803286237528,2.06625058323079,472263.118742125,109732.765,122044.681796813,122044.681796813,4.52271563964591,4.37835670444372
"212","Sweden",2022,5384598.66153505,1.46022071858166,7.40172485174228,3.00569412704298,2.98826182554826,398502.815352354,160918.925,161852.381751149,161852.381751149,4.71670657523551,2.68501827650677
"213","United Kingdom",1970,NA,NA,NA,NA,NA,602241.675,188141.675,190981.194322551,NA,NA,NA
"214","United Kingdom",1971,25564750,NA,2.53877238455614,0.523992899182016,0.512087898923848,648958.325,130925,133968.438774259,NA,1.15338575600135,1.38538662855479
"215","United Kingdom",1972,25695000,0.50949060718372,2.79965991578866,0.58461087743763,0.57299253177187,719316.65,147258.325,150243.552026048,NA,1.27934031434023,1.52031960144842
"216","United Kingdom",1973,25911250,0.841603424790815,1.97333449522255,1.19301388170667,1.18368606282226,511341.65,306691.65,309108.65882361,NA,1.53434528253947,0.438989212683078
"217","United Kingdom",1974,25978500,0.259539775194172,1.97872360169916,1.16391937839361,1.15452263914397,514091.675,299916.675,302357.829742389,NA,1.51758846348489,0.461135138214264
"218","United Kingdom",1975,26106750,0.493677464056816,3.02290202782753,0.593476898656904,0.582106444939402,789475.025,151900,154868.684159463,NA,1.33941125888158,1.68349076894595
"219","United Kingdom",1976,26199500,0.355272103957789,4.12949994083446,0.478175047111543,0.466440022850877,1081916.75,122208.35,125282.854796337,NA,1.40521309015951,2.72428685067495
"220","United Kingdom",1977,26279250,0.304395122044314,4.37744824903543,0.599973032255034,0.588714430525309,1150400,154716.675,157675.320568062,NA,1.62060201761977,2.75684623141566
"221","United Kingdom",1978,26393500,0.434753655450593,4.29353893746596,0.807183670663139,0.79672419629168,1133166.75,210316.65,213077.138013171,NA,1.86163221923099,2.43190671823498
"222","United Kingdom",1979,26626750,0.883740314850247,3.99497557855091,0.916097881074398,0.906144800286192,1063650,241266.675,243916.857544908,NA,1.9130574122212,2.08191816632972
"223","United Kingdom",1980,26919250,1.09851934614626,5.01633054942705,0.510242351612188,0.498981404161477,1350991.75,134216.66,137248.367342777,NA,1.59985758616313,3.41647296326392
"224","United Kingdom",1981,27039250,0.445777649823082,7.96119256148586,0.34867714164782,0.336896475700951,2152441.75,91083.34,94268.7739087607,NA,1.66609899659257,6.29509356489329
"225","United Kingdom",1982,26825250,-0.791442070323696,9.40217524382416,0.436029626569571,0.424457388446812,2521883.5,113858.325,116962.589171899,NA,2.02475355549912,7.37742168832505
"226","United Kingdom",1983,26856000,0.11463080493192,10.2836436992754,0.522421541288555,0.511172702874133,2761858.5,137333.325,140353.924591095,NA,2.31784317662731,7.9658005226481
"227","United Kingdom",1984,27526250,2.49571790288948,10.4905274628938,0.556340652699259,0.545533082192102,2887750,150166.675,153141.536706194,NA,2.41584496519661,8.07468249769714
"228","United Kingdom",1985,27743250,0.788338404250488,10.8034747961613,0.594759339163304,0.584189439297651,2997249.75,162075,165007.420597815,NA,2.53485059331558,8.26862420284577
"229","United Kingdom",1986,27906000,0.586629180070828,10.9893078829614,0.686558389571348,0.676390815894032,3066633.5,188791.675,191628.87773139,NA,2.74678021010595,8.24252767285547
"230","United Kingdom",1987,28178750,0.977388375259801,9.86629789836124,0.844576491552824,0.835096206860738,2779616.5,235375,238046.180394497,NA,2.88666646213464,6.9796314362266
"231","United Kingdom",1988,28515250,1.19416226766624,7.90310677961171,0.881211145814636,0.872009459397094,2253116.5,248641.65,251265.548234287,NA,2.63899711647381,5.26410966313791
"232","United Kingdom",1989,28830750,1.10642550915738,6.13297718920419,0.770866321656039,0.761405238664309,1768016.75,219508.35,222236.078919353,NA,2.17432876231775,3.95864842688644
"233","United Kingdom",1990,28924250,0.324306513011281,5.69816984698649,0.610321924893134,0.600326142183818,1648133.5,173641.675,176532.872125391,NA,1.86486406726625,3.83330577972025
"234","United Kingdom",1991,28692250,-0.802095127790695,7.90702236175662,0.421608361159858,0.410838909020449,2267841.75,117908.325,120998.155026968,NA,1.82583316313253,6.08118919862408
"235","United Kingdom",1992,28361000,-1.15449293798848,9.66770075870883,0.423818119833732,0.412913308568287,2741550,117108.35,120201.03112699,NA,2.02419039585488,7.64351036285395
"236","United Kingdom",1993,28232000,-0.454849970029266,10.1891700559633,0.463661654822867,0.45284267342953,2876641.5,127841.675,130896.102702635,NA,2.1735518050922,8.01561825087114
"237","United Kingdom",1994,28179750,-0.185073675262114,9.22105697065792,0.571106758645901,0.560648940486185,2598583.5,157975.025,160922.057852967,NA,2.29482198826001,6.92623498239791
"238","United Kingdom",1995,28254500,0.265261402248068,8.10415585609235,0.653931868742556,0.643803315664495,2289658.5,181908.35,184770.084808095,NA,2.30207857892718,5.80207727716517
"239","United Kingdom",1996,28355750,0.358349997345556,7.36236046053606,0.802507218956279,0.792954635784578,2087491.5,224883.325,227591.897581538,NA,2.43070924179311,4.93165121874294
"240","United Kingdom",1997,28513000,0.554561244192095,5.5572566274355,1.00231589125237,0.993546495247668,1584491.5,283291.675,285792.081016334,NA,2.36011157139788,3.19714505603763
"241","United Kingdom",1998,28583500,0.247255637779259,4.71544064849279,1.04356149755027,1.03496998801739,1347758.25,295850,298305.648316793,NA,2.21829941729031,2.49714123120247
"242","United Kingdom",1999,28895000,1.08978956390925,4.31973274892632,1.09575631435812,1.08748439487166,1248058.5,314266.675,316656.68653751,NA,2.17563196243656,2.14410078648976
"243","United Kingdom",2000,29070250,0.606506315971621,3.74411070673243,1.24008304056208,1.23240091026005,1088400,358266.675,360499.871135791,NA,2.15476406815359,1.58934663857884
"244","United Kingdom",2001,29200500,0.448052562327465,3.32180734114337,2.0085136538819,1.91771996731177,969941.675,560166.675,586643.539014342,NA,2.58300123891793,0.738806102225435
"245","United Kingdom",2002,29472750,0.932347048851903,3.21206882742892,2.0757298796211,2.07517475081854,946650,611583.325,611749.846404711,611749.846404711,2.58212843222287,0.629940395206054
"246","United Kingdom",2003,29711000,0.808373836849293,3.14047911443401,2.00089170110435,1.99867102646332,933050.025,593833.35,594500.036246559,594500.036246559,2.50674262690898,0.633736487525023
"247","United Kingdom",2004,29953750,0.817037460873077,2.84903441123013,2.15157645756475,2.15435884923642,853341.675,645333.325,644500.072853912,644500.072853912,2.47586658889259,0.373167822337545
"248","United Kingdom",2005,30313750,1.20185285648708,2.84260740165579,2.07347400842866,2.07183908446776,861775,628000,628500.228367868,628500.228367868,2.42777111019556,0.414836291460223
"249","United Kingdom",2006,30808500,1.63209764545792,3.06693036660252,1.97340721004522,1.97911904581697,944900,609750,608000.316827579,608000.316827579,2.46014278003535,0.606787586567177
"250","United Kingdom",2007,31032500,0.727072074265219,2.78605241470398,2.15080854793828,2.14919098902768,864466.675,667000,667500.249459688,667500.249459688,2.44791040451839,0.338142010185588
"251","United Kingdom",2008,31414750,1.23177314106179,2.88334053072629,1.98606385226344,1.98470680137177,906083.425,623333.35,623750.181821027,623750.181821027,2.39301032213435,0.490330208591934
"252","United Kingdom",2009,31559000,0.459179207219539,4.84094486584226,1.41240375402374,1.41583675731115,1527683.25,446833.325,445750.435179751,445750.435179751,2.61483626667857,2.22610859916369
"253","United Kingdom",2010,31725250,0.526791089704997,4.71730755787427,1.48546243256168,1.48754210152516,1496358.25,471916.675,471250.254595065,471250.254595065,2.64714622944436,2.0701613284299
"254","United Kingdom",2011,31971000,0.774619585346057,4.79924506555147,1.46384971138681,1.46410839474741,1534408.25,468083.325,468000.185041012,468000.185041012,2.65054211513081,2.14870295042067
"255","United Kingdom",2012,32267500,0.927402958931532,4.91408452000043,1.49596632235005,1.49468210931628,1585575,482333.35,482750.167931678,482750.167931678,2.71132900015884,2.20275551984158
"256","United Kingdom",2013,32517250,0.773998605407918,4.37174729420123,1.66122615866493,1.65993112532912,1421224.75,539833.35,540250.178978264,540250.178978264,2.69489535310738,1.67685194109386
"257","United Kingdom",2014,32779500,0.806495014184779,3.16114451131949,2.03777896255709,2.03980865862337,1036116.675,668666.7,667999.989204192,667999.989204192,2.5380531481373,0.62309136318219
"258","United Kingdom",2015,33065250,0.871733858051526,2.41333025838573,2.22738480035477,2.22711961486393,797908.35,736416.675,736499.962310146,736499.962310146,2.31849415262679,0.0948361057589402
"259","United Kingdom",2016,33377250,0.943588813028784,2.31534388562305,2.24929000822049,2.25076314199809,772808.35,751250.025,750749.929380197,750749.929380197,2.282077971395,0.0332659142280471
"260","United Kingdom",2017,33533000,0.466635208113311,2.37134398039962,2.36924916722558,2.37148835025167,795200,795250.025,794499.862860976,794499.862860976,2.37029634239418,0.00104763800544783
"261","United Kingdom",2018,33819500,0.85438225032058,2.6622445735128,2.47707078917901,2.47727500862516,900466.675,837833.325,837749.917687406,837749.917687406,2.56798914847764,0.0942554250351679
"262","United Kingdom",2019,34104000,0.84123065095581,3.32168323313521,2.41771524780713,2.41525082811713,1132958.25,823666.65,824499.977244834,824499.977244834,2.83388147266894,0.487801760466269
"263","United Kingdom",2020,34060250,-0.128284072249589,6.59459364823694,1.6209580217473,1.62489765594411,2243125.25,553999.975,552775.086705828,NA,3.26948917635056,3.32510447188638
"264","United Kingdom",2021,33931250,-0.37874061405891,6.72026219596891,2.84723118648258,2.84703332023665,2279858.25,966416.825,966482.582270387,NA,4.37425880643825,2.34600338953066
"265","United Kingdom",2022,34005750,0.219561613556824,4.67832902341011,3.64860275928374,3.6512939173921,1590749.75,1241583.25,1240668.31787321,NA,4.13150870550352,0.546820317906594
"266","United States",1969,80705083.3333333,2.53418384902455,3.49166666666667,4.85286148,4.85286148,NA,NA,NA,NA,4.11637882946488,-0.624712162798214
"267","United States",1970,82796083.3333333,2.5909148638923,4.98333333333333,3.65000177333333,3.65000177333333,NA,NA,NA,NA,4.26487696232585,0.718456371007482
