"","country","year","unemployment_rate","vacancy_rate","active_pop","active_pop_growth","vacancy_stock_eurostat"
"132","Finland","2017",11.2111513528484,1.57022073298461,2603500,0.375694033301412,40894.4671886064
"133","Finland","2018",9.33256617596557,1.85381743010214,2633500,0.0479910120964329,48818.4313007737
"134","Finland","2019",8.74199709656833,1.90196911522647,2636500,0.180752538814417,50142.0876297846
"135","Finland","2020",12.5134446747954,1.6451731538537,2628250,0.0206936164976089,43262.1065684338
"136","Finland","2021",10.7240484513245,2.24998990623515,2677250,0.387612674918612,60263.5912661901
"137","Finland","2022",8.821455884191,2.5461617636953,2713750,0.434534315969879,69082.8577987573
"138","France","2003",8.5,0.900428160264633,27673000,NA,249175
"139","France","2004",8.875,0.931440911998139,27900500,0.233897744325779,259875
"140","France","2005",8.875,1.00291188386976,28104750,0.156082717005705,281875
"141","France","2006",8.85,1.02927459298811,28306250,0.174076271878189,291350
"142","France","2007",8.025,1.08759681365546,28503250,0.196151040332729,310000
"143","France","2008",7.425,1.04199958140753,28692250,0.216398038540264,298925
"144","France","2009",9.125,0.851288937401032,28935250,0.119948622520674,246325
"145","France","2010",9.275,0.932314275740617,29040500,0.0433348326292311,270750
"146","France","2011",9.225,0.984799644058455,29011250,0.0370678415151948,285700
"147","France","2012",9.775,0.864786930601275,29209000,0.28383437467103,252550
"148","France","2013",10.275,0.762415555053676,29351500,-0.0338215541919039,223775
"149","France","2014",10.25,0.733906274819879,29360250,0.0546003226928554,215475
"150","France","2015",10.375,0.772985674324769,29414000,0.0137859610846462,227375
"151","France","2016",10.075,0.821390759035141,29425750,-0.000784742996349856,241700
"152","France","2017",9.425,0.966805700199212,29448000,0.117610307871976,284725
"153","France","2018",9.025,0.953880265832931,29577250,0.0507393097196044,282125
"154","France","2019",8.425,0.934065242175651,29468500,-0.00119517929915597,275250
"155","France","2020",8.05,0.652526762097979,29198500,-0.13585580139442,191025
"156","France","2021",7.9,0.934761777486738,29618500,0.293038714787142,277025
"157","France","2022",7.3,1.12429728312481,30028500,0.270308609564599,337600
"158","Germany","2000",9.87152636103309,NA,NA,NA,NA
"159","Germany","2001",9.78615920388903,NA,NA,NA,NA
"160","Germany","2002",10.3176815942995,NA,NA,NA,NA
"161","Germany","2003",11.0695446460156,NA,NA,NA,NA
"162","Germany","2004",11.0274698610812,NA,NA,NA,NA
"163","Germany","2005",11.8723904156966,NA,NA,NA,NA
"164","Germany","2006",10.8254446539115,1.38584981285849,40850750,NA,566047.428550243
"165","Germany","2007",9.03667498001935,1.38918107399224,40985000,0.0470430922099996,569445.819007266
"166","Germany","2008",7.81704141678696,1.5302216720907,41039500,0.0150584229930335,627776.374796106
"167","Germany","2009",8.19324541118432,1.45519694788657,40306500,-0.31800866986134,586537.139899938
"168","Germany","2010",7.9215170640927,1.65774397359471,39479500,-0.645219608688592,654484.040818338
"169","Germany","2011",7.21813664021273,2.13262332288333,39762750,0.247890668570282,847946.541437084
"170","Germany","2012",7.00253921103651,2.01588726915856,39876750,0.0432308530705696,803930.612955234
"171","Germany","2013",7.06859521565993,1.96614557939333,40150000,0.127824278061983,789402.702232538
"172","Germany","2014",6.90086833670888,2.15508309168383,40327250,0.114379152501675,869101.195959874
"173","Germany","2015",6.62284193865977,2.28295641326466,40460750,0.216016259376885,923774.720448447
"174","Germany","2016",6.24628179378845,2.36175652735313,41274750,0.405705241391019,974797.680611032
"175","Germany","2017",5.84624375984217,2.6579184578114,41446750,0.0716974789252936,1101680.50451331
"176","Germany","2018",5.38951416342905,3.03224737870369,41454000,0.000726710704612712,1257032.91044475
"177","Germany","2019",5.17688316979685,3.25863692757659,41791500,0.379338675327343,1361705.46339155
"178","Germany","2020",6.20696956404327,2.53005242348615,41159500,-0.580110469526881,1041370.34246428
"179","Germany","2021",6.07430833002864,3.20713044103157,41588250,0.394301853613671,1334466.4755025
"180","Germany","2022",5.50851581797873,4.37322104483334,42363250,0.501770348621355,1852942.41413213
"181","Greece","2002",10,0.960633450405432,4698000,NA,45130.5595000472
"182","Greece","2003",9.875,0.997844330987895,4733000,0.307233637488576,47238.9353449043
"183","Greece","2004",10.6,2.27856760690714,4828250,0.460385555085895,110021.899529924
"184","Greece","2005",9.975,0.612759935503211,4851750,0.123872912917797,29714.8399097902
"185","Greece","2006",9.075,1.2902346531991,4886500,0.0720408305450626,63045.4779502835
"186","Greece","2007",8.425,1.07312106530663,4895750,0.107440398698978,52536.4834053869
"187","Greece","2008",7.8,0.716273078095326,4908500,0.0816703277353942,35148.7701640292
"188","Greece","2009",9.75,0.816466023314356,4949500,0.147539428945669,40410.6998632435
"189","Greece","2010",12.925,0.49020427597939,4934750,-0.182106687197323,24202.3147230737
"190","Greece","2011",18.1,0.3862818869436,4851000,-0.409441348072745,18752.5345231619
"191","Greece","2012",24.8,0.245290478056,4812750,-0.0982194886259387,11808.6606538186
"192","Greece","2013",27.8,0.309696747220716,4776000,-0.302532502047819,14779.9357532384
"193","Greece","2014",26.675,0.368236352093629,4737250,-0.157441525648117,17440.1458625043
"194","Greece","2015",24.975,0.231503376060562,4733250,0.174492506500488,10955.6627840445
"195","Greece","2016",23.875,0.283349315098937,4726000,-0.290065178562895,13387.2616593892
"196","Greece","2017",21.875,0.208934888269464,4695500,-0.16983077817052,9813.76458659661
"197","Greece","2018",19.725,0.265457279983839,4646750,-0.20381567153892,12334.1677438682
"198","Greece","2019",17.9,0.26461423541554,4635250,-0.111001099673195,12267.3638264576
"199","Greece","2020",17.65,0.174551365072977,4388750,-1.06586414387417,7639.29520068595
"200","Greece","2021",14.75,0.341563360002172,4493750,1.10184607313409,15403.2669051826
"201","Greece","2022",12.425,0.59288266257431,4609000,0.0897178969343791,27323.5042093445
