"","region","date","unemployment_rate","vacancy_rate","becru","fegap"
"78","Anglo-American",2019-04-01,3.55605986309767,4.0601040008941,3.79973326400444,-0.243673400906762
"79","Anglo-American",2019-07-01,3.6139429953276,3.97538415941152,3.79035773201443,-0.176414736686829
"80","Anglo-American",2019-10-01,3.61281215748634,3.90446082117303,3.7558066408114,-0.142994483325059
"81","Anglo-American",2020-01-01,3.77638563906977,3.74711774936795,3.76172322966704,0.0146624094027383
"82","Anglo-American",2020-04-01,11.9136061208807,2.9784374904452,5.95683902055683,5.95676710032387
"83","Anglo-American",2020-07-01,8.65169891850065,3.56291269179831,5.55204898054256,3.09964993795809
"84","Anglo-American",2020-10-01,6.92075743541903,3.82001674253198,5.14173212782457,1.77902530759446
"85","Anglo-American",2021-01-01,6.46725960883797,4.34940490306129,5.30365257648444,1.16360703235352
"86","Anglo-American",2021-04-01,6.1323785870617,5.32683213385424,5.71543098239493,0.416947604666763
"87","Anglo-American",2021-07-01,5.30468784051018,6.00115049098444,5.64218309155214,-0.337495251041956
"88","Anglo-American",2021-10-01,4.4788711699667,6.27542764956058,5.30158768472509,-0.822716514758393
"89","Anglo-American",2022-01-01,4.03356774539202,6.40182907948779,5.08155599069169,-1.04798824529967
"90","Anglo-American",2022-04-01,3.80708075156636,6.34233277730202,4.91383486052339,-1.10675410895703
"91","Anglo-American",2022-07-01,3.70225404225078,6.01407720108653,4.71864828400368,-1.0163942417529
"92","Anglo-American",2022-10-01,3.72970289242213,5.96773882428982,4.71782712211603,-0.988124229693895
"93","Continental",2000-01-01,9.65627364080351,NA,NA,NA
"94","Continental",2000-04-01,9.49686477159429,NA,NA,NA
"95","Continental",2000-07-01,9.37856385801521,NA,NA,NA
"96","Continental",2000-10-01,9.2267708795492,NA,NA,NA
"97","Continental",2001-01-01,8.17309961281086,2.4880025729439,4.50940049957865,3.66369911323221
"98","Continental",2001-04-01,8.1825859389,2.42164631691919,4.45144123872391,3.73114470017608
"99","Continental",2001-07-01,8.33808280825134,2.30252442765334,4.38162519458193,3.95645761366942
"100","Continental",2001-10-01,8.50700823846521,2.08593849350547,4.21249284262688,4.29451539583832
"101","Continental",2002-01-01,8.59858560057873,1.96935051403089,4.1150490850582,4.48353651552053
"102","Continental",2002-04-01,8.70573080898374,1.78394051647957,3.94087628779572,4.76485452118802
"103","Continental",2002-07-01,8.91154918663925,1.5526132984182,3.71970291511082,5.19184627152842
"104","Continental",2002-10-01,9.1349655325778,1.50922107902467,3.71304222140419,5.42192331117361
"105","Continental",2003-01-01,9.03127595080831,0.996809139371918,3.00040970668266,6.03086624412565
"106","Continental",2003-04-01,9.17648651708768,0.982887820936984,3.00324105536634,6.17324546172134
"107","Continental",2003-07-01,9.14903233334508,0.951622889633619,2.95066578697237,6.19836654637271
"108","Continental",2003-10-01,9.30420820668722,0.959616498809329,2.98805483609224,6.31615337059498
"109","Continental",2004-01-01,9.31424227204747,1.00732149431627,3.06307630396348,6.25116596808399
"110","Continental",2004-04-01,9.32895836958813,1.04619918198171,3.12409164638372,6.20486672320442
"111","Continental",2004-07-01,9.38417307762533,1.02397784208003,3.09986859362334,6.28430448400199
"112","Continental",2004-10-01,9.47579260170382,1.05344391618154,3.15946452223521,6.31632807946861
"113","Continental",2005-01-01,9.90831623942382,1.13040363246483,3.34669936932718,6.56161687009664
"114","Continental",2005-04-01,9.97770184085931,1.1342285128345,3.36407400638926,6.61362783447005
"115","Continental",2005-07-01,9.90700162899227,1.20170268212018,3.45040148813569,6.45660014085658
"116","Continental",2005-10-01,9.82905781445681,1.23918200986277,3.48998447239754,6.33907334205927
"117","Continental",2006-01-01,9.74629975797309,1.17103209346996,3.37834720080174,6.36795255717135
"118","Continental",2006-04-01,9.46621919487918,1.349884515027,3.57467518902329,5.89154400585589
"119","Continental",2006-07-01,9.17737179144034,1.6990886768104,3.94881862000719,5.22855317143315
"120","Continental",2006-10-01,8.74001340485715,1.22980153208867,3.27848774220201,5.46152566265513
"121","Continental",2007-01-01,8.4780634720536,1.3514206788656,3.38488261138674,5.09318086066686
"122","Continental",2007-04-01,8.10286985337538,1.41139527023999,3.38176761271739,4.721102240658
"123","Continental",2007-07-01,7.89906285256578,1.4427544519338,3.37585664634092,4.52320620622485
